2021-07-31 09:58:38.792 | INFO     | BL.bot.SwT:<module>:66 - Running in test mode: False
2021-07-31 09:58:38.792 | INFO     | BL.bot.SwT:<module>:67 - Running on selected quote currencies: False
2021-07-31 09:58:38.792 | INFO     | BL.bot.SwT:<module>:68 - Always generate ST long buy signal: False
2021-07-31 09:58:38.792 | INFO     | BL.bot.SwT:<module>:69 - Always generate ST short sell signal: False
2021-07-31 10:00:56.218 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:00:56.219 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:01:32.415 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:01:32.417 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:02:52.634 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:02:52.635 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:03:12.108 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:03:12.110 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:03:30.528 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2135 - symbol: WAXP-USDT conditions_s: [True, True, True, True, True, True, True]
2021-07-31 10:03:30.537 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2193 - Symbol: WAXP-USDT, S_TradingEnabled: 1, sSellTradeCount: 1, rBuyTradeCount: 0, fBuyTradeCount: 0
2021-07-31 10:03:53.824 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:03:53.825 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:03:54.901 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:03:54.903 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:03:54.910 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:03:54.912 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:03:56.773 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3645 - ST signal
2021-07-31 10:03:56.774 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2132 - symbol: NMR-USDT conditions_r: [True, True, True, True, True, True, True]
2021-07-31 10:03:56.785 | DEBUG    | BL.bot.SwT:monitorEntry:2458 - Max concurrent trades reached.
2021-07-31 10:03:56.787 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:03:56.795 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:03:56.797 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 10:03:58.911 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3645 - ST signal
