2021-07-31 17:44:36.691 | INFO     | BL.bot.SwT:<module>:66 - Running in test mode: False
2021-07-31 17:44:36.691 | INFO     | BL.bot.SwT:<module>:67 - Running on selected quote currencies: False
2021-07-31 17:44:36.691 | INFO     | BL.bot.SwT:<module>:68 - Always generate ST long buy signal: False
2021-07-31 17:44:36.691 | INFO     | BL.bot.SwT:<module>:69 - Always generate ST short sell signal: False
2021-07-31 17:59:05.808 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3645 - ST signal
2021-07-31 17:59:05.810 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2132 - symbol: NMR-BTC conditions long: [True, True, True, True, True, True, True]
2021-07-31 17:59:06.510 | DEBUG    | BL.bot.SwT:monitorEntry:2485 - Entering trade for NMR-BTC
2021-07-31 17:59:06.512 | INFO     | BL.bot.SwT:sendTradeOrder:3905 - Creating BUY for NMR-BTC
2021-07-31 17:59:08.497 | DEBUG    | BL.Exchanges.Bittrex.BittrexClient:_make_trade_order:230 - Order closed: {'id': '0e450141-87e1-470d-b915-a8503893345d', 'marketSymbol': 'NMR-BTC', 'direction': 'BUY', 'type': 'MARKET', 'quantity': '0.35332282', 'timeInForce': 'IMMEDIATE_OR_CANCEL', 'fillQuantity': '0.35332282', 'commission': '0.00000066', 'proceeds': '0.00033242', 'status': 'CLOSED', 'createdAt': '2021-07-31T22:58:56.7Z', 'updatedAt': '2021-07-31T22:58:56.7Z', 'closedAt': '2021-07-31T22:58:56.7Z'}
2021-07-31 17:59:08.498 | INFO     | BL.bot.SwT:sendTradeOrder:3907 - BUY response for NMR-BTC: {'status': 'FILLED', 'direction': 'BUY', 'order_type': 'MARKET', 'symbol': 'NMR-BTC', 'requested_qty': 0.35332282, 'executed_qty': 0.35332282, 'avg_price': 0.0009408393151622644, 'commission': 6.6e-07, 'executed_time': datetime.datetime(2021, 7, 31, 17, 59, 6, 512726)}
2021-07-31 17:59:09.852 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3645 - ST signal
2021-07-31 17:59:09.853 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2132 - symbol: NMR-BTC conditions long: [True, True, True, True, True, True, True]
2021-07-31 17:59:10.910 | DEBUG    | BL.bot.SwT:monitorEntry:2485 - Entering trade for NMR-BTC
2021-07-31 17:59:10.920 | INFO     | BL.bot.SwT:sendTradeOrder:3905 - Creating BUY for NMR-BTC
2021-07-31 17:59:12.593 | DEBUG    | BL.Exchanges.Bittrex.BittrexClient:_make_trade_order:230 - Order closed: {'id': '316bd165-7db4-4e98-899a-c380ec788820', 'marketSymbol': 'NMR-BTC', 'direction': 'BUY', 'type': 'MARKET', 'quantity': '0.26602282', 'timeInForce': 'IMMEDIATE_OR_CANCEL', 'fillQuantity': '0.26602282', 'commission': '0.00000049', 'proceeds': '0.00024921', 'status': 'CLOSED', 'createdAt': '2021-07-31T22:59:01.22Z', 'updatedAt': '2021-07-31T22:59:01.22Z', 'closedAt': '2021-07-31T22:59:01.22Z'}
2021-07-31 17:59:12.594 | INFO     | BL.bot.SwT:sendTradeOrder:3907 - BUY response for NMR-BTC: {'status': 'FILLED', 'direction': 'BUY', 'order_type': 'MARKET', 'symbol': 'NMR-BTC', 'requested_qty': 0.26602282, 'executed_qty': 0.26602282, 'avg_price': 0.0009367993317265037, 'commission': 4.9e-07, 'executed_time': datetime.datetime(2021, 7, 31, 17, 59, 10, 935893)}
2021-07-31 17:59:13.925 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3645 - ST signal
2021-07-31 17:59:13.926 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2132 - symbol: NMR-BTC conditions long: [True, True, True, True, True, True, True]
2021-07-31 17:59:14.637 | DEBUG    | BL.bot.SwT:monitorEntry:2485 - Entering trade for NMR-BTC
2021-07-31 17:59:14.650 | INFO     | BL.bot.SwT:sendTradeOrder:3905 - Creating BUY for NMR-BTC
2021-07-31 17:59:15.994 | DEBUG    | BL.Exchanges.Bittrex.BittrexClient:_make_trade_order:230 - Order closed: {'id': 'cf016e75-c51f-4aee-9fea-15ed616114dd', 'marketSymbol': 'NMR-BTC', 'direction': 'BUY', 'type': 'MARKET', 'quantity': '0.20240013', 'timeInForce': 'IMMEDIATE_OR_CANCEL', 'fillQuantity': '0.20240013', 'commission': '0.00000037', 'proceeds': '0.00018971', 'status': 'CLOSED', 'createdAt': '2021-07-31T22:59:04.61Z', 'updatedAt': '2021-07-31T22:59:04.61Z', 'closedAt': '2021-07-31T22:59:04.61Z'}
2021-07-31 17:59:15.995 | INFO     | BL.bot.SwT:sendTradeOrder:3907 - BUY response for NMR-BTC: {'status': 'FILLED', 'direction': 'BUY', 'order_type': 'MARKET', 'symbol': 'NMR-BTC', 'requested_qty': 0.20240013, 'executed_qty': 0.20240013, 'avg_price': 0.0009373017695196143, 'commission': 3.7e-07, 'executed_time': datetime.datetime(2021, 7, 31, 17, 59, 14, 652949)}
2021-07-31 17:59:17.340 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3645 - ST signal
