2021-07-29 15:52:38.643 | INFO     | BL.bot.SwT:<module>:66 - Running in test mode: False
2021-07-29 15:52:38.644 | INFO     | BL.bot.SwT:<module>:67 - Running on selected quote currencies: False
2021-07-29 15:52:38.644 | INFO     | BL.bot.SwT:<module>:68 - Always generate ST long buy signal: False
2021-07-29 15:52:38.644 | INFO     | BL.bot.SwT:<module>:69 - Always generate ST short sell signal: False
2021-07-29 16:01:17.192 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:01:17.193 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:02:17.256 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:02:17.257 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:03:07.580 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:03:07.581 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:03:28.933 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:03:28.934 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:03:46.737 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:03:46.738 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:03:50.718 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:03:50.719 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:04:08.126 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:04:08.127 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:04:32.789 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:04:32.789 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:05:08.407 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:05:08.408 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:05:10.966 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:05:10.966 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-29 16:05:10.981 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
