2021-08-01 09:57:38.910 | INFO     | BL.bot.SwT:<module>:66 - Running in test mode: False
2021-08-01 09:57:38.911 | INFO     | BL.bot.SwT:<module>:67 - Running on selected quote currencies: False
2021-08-01 09:57:38.912 | INFO     | BL.bot.SwT:<module>:68 - Always generate ST long buy signal: False
2021-08-01 09:57:38.913 | INFO     | BL.bot.SwT:<module>:69 - Always generate ST short sell signal: False
2021-08-01 10:25:08.851 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3646 - ST signal
2021-08-01 10:25:08.852 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2132 - symbol: XTZ-USDT conditions long: [True, True, True, True, True, True, True]
2021-08-01 10:25:08.867 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3646 - ST signal
2021-08-01 10:25:08.868 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2132 - symbol: XTZ-USDT conditions long: [True, True, True, True, True, True, True]
2021-08-01 10:25:09.659 | DEBUG    | BL.bot.SwT:monitorEntry:2486 - Entering trade for XTZ-USDT
2021-08-01 10:25:09.670 | INFO     | BL.bot.SwT:sendTradeOrder:3906 - Creating BUY for XTZ-USDT
2021-08-01 10:25:10.031 | DEBUG    | BL.bot.SwT:monitorEntry:2486 - Entering trade for XTZ-USDT
2021-08-01 10:25:10.034 | INFO     | BL.bot.SwT:sendTradeOrder:3906 - Creating BUY for XTZ-USDT
2021-08-01 10:25:11.183 | DEBUG    | BL.Exchanges.Bittrex.BittrexClient:_make_trade_order:230 - Order closed: {'id': 'a908f4f4-0ba2-421e-818f-72ffedf901f7', 'marketSymbol': 'XTZ-USDT', 'direction': 'BUY', 'type': 'MARKET', 'quantity': '47.73567481', 'timeInForce': 'IMMEDIATE_OR_CANCEL', 'fillQuantity': '47.73567481', 'commission': '0.30027278', 'proceeds': '150.13639083', 'status': 'CLOSED', 'createdAt': '2021-08-01T15:25:00.06Z', 'updatedAt': '2021-08-01T15:25:00.06Z', 'closedAt': '2021-08-01T15:25:00.06Z'}
2021-08-01 10:25:11.184 | INFO     | BL.bot.SwT:sendTradeOrder:3908 - BUY response for XTZ-USDT: {'status': 'FILLED', 'direction': 'BUY', 'order_type': 'MARKET', 'symbol': 'XTZ-USDT', 'requested_qty': 47.73567481, 'executed_qty': 47.73567481, 'avg_price': 3.1451611698709745, 'commission': 0.30027278, 'executed_time': datetime.datetime(2021, 8, 1, 10, 25, 9, 670248)}
2021-08-01 10:25:11.719 | DEBUG    | BL.Exchanges.Bittrex.BittrexClient:_make_trade_order:230 - Order closed: {'id': '4b2fef8c-d2c7-4723-b9a0-f26c89b5f618', 'marketSymbol': 'XTZ-USDT', 'direction': 'BUY', 'type': 'MARKET', 'quantity': '47.73567481', 'timeInForce': 'IMMEDIATE_OR_CANCEL', 'fillQuantity': '18.24618282', 'commission': '0.11464162', 'proceeds': '57.32080809', 'status': 'CLOSED', 'createdAt': '2021-08-01T15:25:00.27Z', 'updatedAt': '2021-08-01T15:25:00.27Z', 'closedAt': '2021-08-01T15:25:00.27Z'}
2021-08-01 10:25:11.720 | INFO     | BL.bot.SwT:sendTradeOrder:3908 - BUY response for XTZ-USDT: {'status': 'CLOSED', 'direction': 'BUY', 'order_type': 'MARKET', 'symbol': 'XTZ-USDT', 'requested_qty': 47.73567481, 'executed_qty': 18.24618282, 'avg_price': 3.1415232794428394, 'commission': 0.11464162, 'executed_time': datetime.datetime(2021, 8, 1, 10, 25, 10, 48237)}
2021-08-01 10:25:11.721 | WARNING  | BL.bot.SwT:sendTradeOrder:3928 - Response status is not FILLED: {'status': 'CLOSED', 'direction': 'BUY', 'order_type': 'MARKET', 'symbol': 'XTZ-USDT', 'requested_qty': 47.73567481, 'executed_qty': 18.24618282, 'avg_price': 3.1415232794428394, 'commission': 0.11464162, 'executed_time': datetime.datetime(2021, 8, 1, 10, 25, 10, 48237)}
2021-08-01 10:25:11.722 | DEBUG    | BL.bot.SwT:monitorEntry:2488 - Trade entry response: {'status': 'CLOSED', 'direction': 'BUY', 'order_type': 'MARKET', 'symbol': 'XTZ-USDT', 'requested_qty': 47.73567481, 'executed_qty': 18.24618282, 'avg_price': 3.1415232794428394, 'commission': 0.11464162, 'executed_time': datetime.datetime(2021, 8, 1, 10, 25, 10, 48237)}
2021-08-01 10:25:11.724 | WARNING  | BL.bot.SwT:monitorEntry:2501 - Entry order for XTZ-USDT was not filled.
2021-08-01 10:25:11.726 | WARNING  | BL.bot.SwT:monitorEntry:2506 - Entering a trade for XTZ-USDT failed.
2021-08-01 10:25:12.505 | DEBUG    | BL.bot.SwT:monitorEntry:2488 - Trade entry response: {'status': 'FILLED', 'direction': 'BUY', 'order_type': 'MARKET', 'symbol': 'XTZ-USDT', 'requested_qty': 47.73567481, 'executed_qty': 47.73567481, 'avg_price': 3.1451611698709745, 'commission': 0.30027278, 'executed_time': datetime.datetime(2021, 8, 1, 10, 25, 9, 670248)}
2021-08-01 11:02:14.473 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2135 - symbol: ZRX-USDT conditions short: [True, True, True, True, True, True, True]
