2021-07-31 05:16:38.431 | INFO     | BL.bot.SwT:<module>:66 - Running in test mode: False
2021-07-31 05:16:38.431 | INFO     | BL.bot.SwT:<module>:67 - Running on selected quote currencies: False
2021-07-31 05:16:38.431 | INFO     | BL.bot.SwT:<module>:68 - Always generate ST long buy signal: False
2021-07-31 05:16:38.432 | INFO     | BL.bot.SwT:<module>:69 - Always generate ST short sell signal: False
2021-07-31 05:18:40.085 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:18:40.086 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.519 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.520 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.542 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.543 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.594 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.594 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.647 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.648 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.668 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.669 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.675 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.675 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.687 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.688 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.701 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.702 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.708 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.709 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.715 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.716 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.729 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.730 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.736 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.737 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.762 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.763 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.821 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.822 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.830 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.831 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.837 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.838 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.847 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.848 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.866 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.866 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.872 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.873 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.880 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.880 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.887 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.888 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.908 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.909 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.916 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.916 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.922 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.923 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.929 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.929 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.935 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.936 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.951 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:10.952 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:11.000 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:11.001 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:11.287 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:11.287 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:11.287 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:11.302 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:11.302 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:11.302 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:11.318 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:11.318 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:11.449 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:11.449 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:16.761 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:16.761 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:48.122 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:20:48.123 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:21:34.145 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:21:34.161 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:22:32.253 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2135 - symbol: GBYTE-BTC conditions_s: [True, True, True, True, True, True, True]
2021-07-31 05:22:32.253 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2193 - Symbol: GBYTE-BTC, S_TradingEnabled: 1, sSellTradeCount: 0, rBuyTradeCount: 5, fBuyTradeCount: 0
2021-07-31 05:23:01.372 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:23:01.372 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:23:02.336 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:23:02.336 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:23:04.842 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2135 - symbol: GBYTE-BTC conditions_s: [True, True, True, True, True, True, True]
2021-07-31 05:23:04.857 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2193 - Symbol: GBYTE-BTC, S_TradingEnabled: 1, sSellTradeCount: 0, rBuyTradeCount: 5, fBuyTradeCount: 0
2021-07-31 05:23:40.034 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2135 - symbol: GBYTE-BTC conditions_s: [True, True, True, True, True, True, True]
2021-07-31 05:23:40.056 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2193 - Symbol: GBYTE-BTC, S_TradingEnabled: 1, sSellTradeCount: 0, rBuyTradeCount: 5, fBuyTradeCount: 0
2021-07-31 05:23:42.093 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3645 - ST signal
2021-07-31 05:23:42.094 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2132 - symbol: ADA-USDT conditions_r: [True, True, True, True, True, True, True]
2021-07-31 05:23:44.305 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3645 - ST signal
2021-07-31 05:23:44.321 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2132 - symbol: ADA-USDT conditions_r: [True, True, True, True, True, True, True]
2021-07-31 05:24:21.776 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2135 - symbol: GBYTE-BTC conditions_s: [True, True, True, True, True, True, True]
2021-07-31 05:24:21.814 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2193 - Symbol: GBYTE-BTC, S_TradingEnabled: 1, sSellTradeCount: 0, rBuyTradeCount: 5, fBuyTradeCount: 0
2021-07-31 05:24:59.003 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:24:59.004 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.107 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.107 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.138 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.138 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.154 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.169 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.207 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.207 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.222 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.222 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.238 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.238 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
2021-07-31 05:25:10.254 | DEBUG    | BL.bot.SwT:monitorEntry:2451 - No signal.
