2021-07-29 11:26:09.742 | INFO     | BL.bot.SwT:<module>:66 - Running in test mode: False
2021-07-29 11:26:09.742 | INFO     | BL.bot.SwT:<module>:67 - Running on selected quote currencies: False
2021-07-29 11:26:09.742 | INFO     | BL.bot.SwT:<module>:68 - Always generate ST long buy signal: False
2021-07-29 11:26:09.742 | INFO     | BL.bot.SwT:<module>:69 - Always generate ST short sell signal: False
2021-07-29 11:27:45.668 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3631 - ST signal
2021-07-29 11:27:45.669 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2132 - symbol: XEM-ETH conditions_r: [True, True, True, True, True, True, True]
2021-07-29 11:30:55.552 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3631 - ST signal
2021-07-29 11:30:55.553 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2132 - symbol: STRAX-BTC conditions_r: [True, True, True, True, True, True, True]
2021-07-29 11:33:19.908 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3631 - ST signal
2021-07-29 11:33:19.908 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2132 - symbol: STRAX-BTC conditions_r: [True, True, True, True, True, True, True]
2021-07-29 11:33:23.850 | DEBUG    | BL.bot.SwT:checkEntryForRbuy:3631 - ST signal
2021-07-29 11:33:23.851 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2132 - symbol: STRAX-BTC conditions_r: [True, True, True, True, True, True, True]
2021-07-29 12:06:24.822 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2135 - symbol: MATIC-USDT conditions_s: [True, True, True, True, True, True, True]
2021-07-29 12:06:24.828 | DEBUG    | BL.bot.SwT:runTradingAlgorithm:2193 - Symbol: MATIC-USDT, S_TradingEnabled: 1, sSellTradeCount: 0, rBuyTradeCount: 0
