ADA-BTC
ADA-USD
ADA-USDT
ARK-BTC
BAL-USD
BAL-USDT
BAT-USD
BAT-USDT
BTC-USD
CELO-BTC
CELO-USD
CELO-USDT
CVC-BTC
DAI-BTC
DAI-ETH
DCR-USD
DCR-USDT
DOGE-BTC
DOGE-USD
DOGE-USDT
ENJ-BTC
ENJ-ETH
ENJ-USD
ETH-USD
FIL-USD
FIL-USDT
GAME-USDT
GBYTE-BTC
IOTA-BTC
LRC-BTC
LTC-USD
LTC-USDT
MANA-USD
MATIC-BTC
MATIC-USD
MATIC-USDT
MONA-BTC
NAV-BTC
NMR-BTC
NMR-USDT
ONG-BTC
PINK-BTC
PPC-BTC
REN-BTC
REN-USD
SBD-BTC
SOLVE-BTC
SOLVE-USD
SOLVE-USDT
STRAX-BTC
TRX-BTC
TRX-USDT
TUSD-BTC
TUSD-ETH
TUSD-USDT
USDC-BTC
USDC-ETH
USDC-USDT
USDN-BTC
USDN-USDT
USDS-BTC
WAVES-BTC
WAVES-ETH
WAVES-USDT
WAXP-ETH
WAXP-USDT
XEM-ETH
XEM-USD
XEM-USDT
XLM-BTC
XLM-ETH
XLM-USD
XLM-USDT
XTZ-ETH
XTZ-USD
XTZ-USDT
ZEN-USD
ZRX-ETH
ZRX-USD
ZRX-USDT
